header,price_cad,sales,seller,details,description,availability,num_reviews
"Mens Paracord Bracelet, Emergency Quick Release 550, Military Gift, Camouflage Mens Bracelet, Blue, Survival Paracord Bracelet, quick deploy",11.13,1685.0,BlessingsfromHeaven7,No info,"Emergency Quick Release Paracord Survival Bracelet.This hand made bracelet is made from~ 7.5 feet of 550 USA Paracord. It has a 7 strand core that is rated to hold up to 550 pounds.My daughter makes these TRULY QUICK RELEASE paracord bracelets for deployed military around the world. The cobra design can take 2-5 minutes to take apart, and in an emergency, that’s a LOT of time. The quick deploy bracelet is just that, QUICK! The bracelet can be deployed in just 30 seconds!This is the preferred style requested by the troops.20% of your purchase will go directly to purchasing more Paracord that will be made into bracelets and donated, to be sent in care packages to our Deployed Military.One size fits most. Made for average sized men and women.Our military could really use the support!!Thank you!!The paracord we use is manufactured in the USA.",Low in stock,340
Paracorde bracelet,18.0,198.0,BijouxBohemesBloom,"['Handmade item', 'Materials: paracorde, corde', 'Adjustable: Yes', 'Made to Order']","Paracord Bracelet / adjustable / suitable for men and women.Need a piece of string? Just cut the knot of the bracelet and undo, so you get 10 to 11 feet of rope.Woven by hand with love and care!",Only 1 available,33
Cordbraid Paracord Bracelet of The First Class - Men Bracelet,65.4,514.0,Cordbraid,"['Handmade item', 'Materials: Nylon, Stainless steel']","HIGH VALUE- The bracelet has a very high quality.The Cordbraid bracelet is made from the best materials such as Paracord 550 III(vegan nylon), microcord and stainless steel and comes in a jewelry bag.GIFT - The perfect gift for any occasion.HANDMADE – All my bracelets are handmade with a lot of love in Speyer, Germany.Cordbraid bracelets are unique and will only be braided for your wrist after your orderThis piece of jewelry can also be ordered in other colors if you want a different color, just short message to me.!!!!! When choosing the size, choose the size of your wrist,not the length of the bracelet! Please choose the correct wrist size.It is best to measure with a measuring tape!!!Arm width: approx. 2.0 cm------------------------------------------------------------------------------------------LockMaterial: 316L stainless steelFront inscription ""Love Kills Slowly""Back: Blackened, polishedDimensions approx.: L x W 2 cm x 1.5 cm------------------------------------------------------------------------------------------",In stock,96
I Love ASL Paracord Bracelet,15.0,1237.0,FrontLine1Paracord,No info,"PLEASE READ: Sizing is very important. Use a material tape measure or a string to measure the area of your wrist, where you would wear your bracelet.DO NOT make it loose nor tight. I need the exact measurement of your wrist and I will add some to allow for a comfortable fit.AVAILABLE COLOURS:Black, White, Red, Blue, Neon Green, Yellow, Orange, Purple, Pink, Silver, Grey, Gold, Brown",In stock,166
"Paracord bracelet with axe, mens army green viking  bracelet, valkyrie brass bead, viking jewelry, gift for him, mens bangle, mens gift",38.99,1981.0,VikingJewelryPlace,No info,"The bracelet is made of 550 type paracord (army green and brown snake, decorated with tan micro) with Axe of perun/thors hummer and beads which are handmade casted from brass.Material of clasp and beads: BrassSize of bracelet: made to order (PLEASE MEASURE YOUR WRIST AND INDICATE SIZE IN THE NOTE TO ORDER). If you don't give the size I will have to send you the most usable 21-22 cm bracelet. Bracelet could be made to order with paracord of other colour and beads. As for jewelry from BRASS, it has lasting properties and well contacts with water. If you don't use/wear it for long, it may become dull, so you just need to polish its  surface with cloth.Please note the color of the product may slightly very due to display settings.------------------------------------------------------------All packages are nicely wrapped and could be delivered as a gift to the recipient. All packages are sent from Ukraine by the registered air mail and it usually takes from 15 to 30 days to the country of destiny. Please note, due to holidays delivery may be delayed. Feel free to contact if you need something special or you have any questions - I will gladly reply. Thank you for visiting my store.",In stock,395
Paracord Bracelet Odin's Raven - Hugin Munin Bracelet - Ragnar Bracelet - Viking Bracelet - Berserk Bracelet - Warrior Bracelet - Brutal,55.5,28.0,NorseNorth,"['Handmade item', 'Materials: Bronze']",100% Handmade.Paracord and Jewelry bronze.New collection.,In stock,7
Little Bear (Round) - Paracord bracelet with Exclusive bronze buckle,138.0,1236.0,ALEXPEDITION,"['Handmade item', 'Materials: Bronze, Nylon', 'Made to Order']","Little Bear (Round) - Paracord bracelet with Exclusive bronze buckleYou may also be interested in my products:▻ https://www.etsy.com/listing/664662852/paracord-bracelet-totem-with-exclusive▻ https://www.etsy.com/listing/666123909/brown-bear-2019-paracord-bracelet-with▻ https://www.etsy.com/listing/512981410/brown-bear-paracord-bracelet-with▻ https://www.etsy.com/listing/555944578/gray-wolf-paracord-bracelet-withTerms of ordering 20-30 daysAttention! When choosing a size, keep in mind that it is not the length of the bracelet. It is wrist size in circumference.",In stock,231
"Compass Paracord Bracelet, Military style bracelet, Survival Bracelet, Men Bracelet, Army camouflage bracelet, A gift for him, Solder gift",17.81,47.0,KarmaByNatalia,"['Handmade item\n\nBracelet length: 20 Centimetres\n\nMaterials: Survival Parachute Cord, Metal Buckle, compass', 'Closure: Buckle', 'Adjustable: No', 'Style: Brutalist', 'Can be personalised: Yes']","Paracord Bracelet with compass for men, trilobite technique, length 20 cm, green.A paracord bracelet is a bracelet woven out of paracord and is considered as a survival tool. The ideal gift for him, a perfect accessory for an active man, soldier, hiker, traveller or camper. Surprise your husband, father, brother or boyfriend with a stylish and useful gift.This one however, is fashioned with a compass woven directly into the middle. Fashionable and functional. Made from 550 parachute cord.  There are available 2 colors, see in last picture. If you want another size or another cord color don't hesitate to contact me.* Shipping & Transit TimesI am based in Germany and highly appreciate orders from all over the world. Domestic orders are sent for free. European Union orders, International Non European countries, i.e. USA, CANADA, AUSTRALIA orders will generate additional cost.Germany:FREE SHIPPING• Transit time can take between 2 and 3 days (BUSINESS DAYS - Monday to Friday)Europe:2 Euros• Transit time can take anywhere between 7 and 15 days (BUSINESS DAYS - Monday to Friday)Non European countries, i.e. USA, CANADA, AUSTRALIA:5 Euros• Transit time can take anywhere between 15 and 30 days (BUSINESS DAYS - Monday to Friday)",Low in stock,13
Sports Paracord Bracelet - Soccer Bracelet - Youth Softball Bracelet - Volleyball Bracelet - Baseball Bracelet - Basketball Bracelet - Sport,18.92,37141.0,SweetAspenJewels,No info,"Show off your sport with this stylish and easy to wear Bracelet! You can add your name, team, or number, up to 8 characters on top and 8 on the bottom. Adjustable Paracord is wrapped and tied at the ends, pick your sport, and we will add them to the back which makes this bracelet adjust in size. This Bracelet comes with a 1 inch Hand Stamped Washer, in which you will leave in the notes what you would like it to read.We do have different styles/colors of Paracord. Please send us a message if you would like a different color, as we will be adding more and more all of the time. .:DETAILS:.-1 inch Silver Aluminum Washer(can accommodate up to 25 characters)-Paracord-Pewter Ball Beads of your Choice.:HOW to ORDER:.-Select your options from the drop down menu. -Add the item to your cart. Please leave all of the details we need to complete your item in the ""notes to seller"" section. You will not see this until you have the item in your cart. Thank you!I make items to REPRESENT YOUR LIFE and who you are! I love how I can use Hand Stamping and Laser Etching, to create truly unique items tailored to you. Each piece that I make can never be duplicated or replicated. There will be slight variations between each one. This is because with hand stamping, I use a little metal stamp and a hammer to punch out your words or designs all one letter at a time! When we use the laser to etch, the laser can add slight variations to the depth of the etching due to the specific piece of metal it is working with. We cater to each piece of metal by polishing it and then molding it in to the beautiful creations you see in my shop! As life is a little bit messy and not always perfect, my pieces represent this well! Not everything will always line up perfect, like a machine would, and this will add so much more character to your items! So much heart is put into each piece, as well as a little bit of love that is continuously carried through each one, as it tells your story! We can't wait to get started on your One-of-a-Kind items, and tell your story!",In stock,6
"Paracord Survival Bracelet, HighQuality, With Flint Fire Starter",25.0,63.0,ArbutusCoast,"['Handmade item', 'Closure: Buckle', 'Adjustable: No', 'Can be personalised: Yes']","Paracord Survival Bracelet.  These are hand made in Victoria BC Canada. Features are a flint fire starter, compass, whistle, cutting tool and 9 feet of rope. . We also make ones with 50 feet of 60 pound fishing line and 2 fish hooks inside (optional) The regular version and the fishing version are only a 5 dollar difference. We can make to custom fit any wrist size. Standard sizes are ....6....6.5.....7....7.5...8....8.5...9 We discovered that most of these survival bracelets out there are from china and poorly made. We seal them far better so they dont fall apart. Were creative with many different colour choices and can add and custom make to your liking.",In stock,6
"Paracord Bracelet Snake, Viking bracelet, Totem Bracelet, Bronze buckle, Paracord Bead",214.22,744.0,ARHAIKAua,"['Handmade item', 'Materials: Bronze', 'Made to Order']","Made of:✅ Premium 550 Paracord with exclusive Bronze Buckle ""Snake"".You can also choose the color of the paracord.The color scheme is indicated on one of the photosWe guarantee the quality of our product! In the event of a defect, we will replace the product or refund your money.",In stock,152
Rainbow Paracord Bracelets | Colourful Jewellery for kids | Party Favour Bracelets |,10.0,542.0,PinkCoconutBling,"['Handmade item\n\nBracelet width: 2 Millimetres\n\nMaterials: Paracord thread, Acrylic buckle, Rainbow paracord', 'Closure: Buckle', 'Adjustable: No', 'Style: Boho & hippie', 'Can be personalised: Yes']","Rainbow Paracord BraceletThese bracelets are hand braded with 4mm paracord thread and close with a black acrylic buckle.********************SIZING:  Please make sure you measure your wrist ( or your child's) to ensure you choose the correct size.For a snug fit, please add half an inch to your size.  For a Looser fit, please add 1 inch to your size.Please contact me directly via Etsy if you have any questions prior to ordering.",In stock,99
Daddy Bracelet | Custom Handwriting | Camouflage Paracord Bracelet | Kids Drawing Gift | Mens Bracelet | Daddy From Son | Dad From Daughter,36.3,5972.0,MrsBeesEmporium,"['Handmade item', 'Adjustable: Yes', 'Closure: Ball & joint', 'Can be personalised: Yes\n\nBracelet length: 23 Centimetres; Bracelet width: 2 Centimetres\n\nMade to Order']","This is a gorgeous gifts for Dads - your child's drawing or handwriting printed onto a beautiful, high quality camo paracord bracelet. This unusual gift will bring a smile to the face of your loved one, as well as make your child/ren feel proud. If you'd like something a little different please get in touch - we don't charge extra for custom orders.Like what you see? Please check out our gifts for Dads: http://etsy.me/2xY4Hkv⭐️ HOW TO ORDER:Checkout in the usual way. In the 'personalisation' box please add the information you would like us to include on your bracelet. You can PM us pictures - photos of the picture or a scan will usually suffice.Feel free to PM us for further clarification at any time.⭐ MAKING TIME:Every order is lovingly handmade in our Yorkshire studio. Your order will be shipped 3-5 days after purchase to give us time to hand-make your gift with the greatest care and attention. This is in addition to the shipping times.⭐️ GRAB 10% OFF YOUR FIRST ORDERBy joining our email newsletter: https://bit.ly/MBEBuzz",In stock,658
